rank, player, value
1,Neto,88
2,Fernando Pacheco,84
3,Roberto,81
4,Iván Cuéllar,80
5,Adán,79
6,Jan Oblak,77
7,Leandro Chichizola,73
8,Marc-André Ter Stegen,72
8,Pau López,72
10,Guaita,68
