rank, player, value
1,Lionel Messi,24
2,Luis Suárez,21
3,Cristiano Ronaldo,18
4,Iago Aspas,16
4,Antoine Griezmann,16
6,Cristhian Stuani,15
7,Maxi Gómez,13
8,Gerard Moreno,12
8,Willian José,12
8,Rodrigo,12
