rank, player, value
1,Lionel Messi,12
2,Pione Sisto,9
3,Pablo Fornals,8
3,Antoine Griezmann,8
5,Jordi Alba,7
5,Daniel Wass,7
5,Karim Benzema,7
5,Lucas Vázquez,7
5,José Ángel Cote,7
5,Gonçalo Guedes,7
